# file...... distribution_load.csv
# date...... Wed Jul 26 23:24:26 2017
# user...... hieutn
# host...... (null)
# target.... substation 52
# trigger... (none)
# interval.. 300
# limit..... 0
# timestamp,distribution_load,positive_sequence_voltage
2004-07-02 04:10:00 CDT,+50362.4-23370j,+2401+0i
2004-07-02 04:15:00 CDT,+50256.7-23367j,+2401+0i
2004-07-02 04:20:00 CDT,+44758.3-23390.6j,+2401+0i
2004-07-02 04:25:00 CDT,+44813.4-23390.4j,+2401+0i
2004-07-02 04:30:00 CDT,+44813.4-23390.4j,+2401+0i
2004-07-02 04:35:00 CDT,+44812.2-23390.4j,+2401+0i
2004-07-02 04:40:00 CDT,+44758.3-23390.6j,+2401+0i
2004-07-02 04:45:00 CDT,+44758.3-23390.6j,+2401+0i
2004-07-02 04:50:00 CDT,+44812-23390.5j,+2401+0i
2004-07-02 04:55:00 CDT,+44758.3-23390.5j,+2401+0i
2004-07-02 05:00:00 CDT,+48629.6-40077.8j,+2401+0i
2004-07-02 05:05:00 CDT,+53747.7-40058.1j,+2401+0i
2004-07-02 05:10:00 CDT,+53747.7-40058.1j,+2401+0i
2004-07-02 05:15:00 CDT,+48629.6-40077.8j,+2401+0i
2004-07-02 05:20:00 CDT,+48629.6-40077.8j,+2401+0i
2004-07-02 05:25:00 CDT,+48674.3-40077.8j,+2401+0i
2004-07-02 05:30:00 CDT,+48674.3-40077.7j,+2401+0i
2004-07-02 05:35:00 CDT,+48629.6-40077.8j,+2401+0i
2004-07-02 05:40:00 CDT,+48629.6-40077.8j,+2401+0i
2004-07-02 05:45:00 CDT,+53770.7-40058.9j,+2401+0i
2004-07-02 05:50:00 CDT,+48629.6-40077.8j,+2401+0i
2004-07-02 05:55:00 CDT,+48629.6-40077.8j,+2401+0i
2004-07-02 06:00:00 CDT,+60693.4-94126.3j,+2401+0i
2004-07-02 06:05:00 CDT,+60693.7-94126.5j,+2401+0i
2004-07-02 06:10:00 CDT,+70741.3-94076.4j,+2401+0i
2004-07-02 06:15:00 CDT,+60693.7-94126.5j,+2401+0i
2004-07-02 06:20:00 CDT,+60693.7-94126.4j,+2401+0i
2004-07-02 06:25:00 CDT,+60693.7-94126.5j,+2401+0i
2004-07-02 06:30:00 CDT,+60693.7-94126.5j,+2401+0i
2004-07-02 06:35:00 CDT,+60693.7-94126.5j,+2401+0i
2004-07-02 06:40:00 CDT,+60693.7-94126.5j,+2401+0i
2004-07-02 06:45:00 CDT,+60693.7-94126.5j,+2401+0i
2004-07-02 06:50:00 CDT,+65747.2-94096.8j,+2401+0i
2004-07-02 06:55:00 CDT,+60784.4-94126.1j,+2401+0i
2004-07-02 07:00:00 CDT,+77058.5-156128j,+2401+0i
2004-07-02 07:05:00 CDT,+75324-156578j,+2401+0i
2004-07-02 07:10:00 CDT,+80026.6-156545j,+2401+0i
2004-07-02 07:15:00 CDT,+75276.9-156578j,+2401+0i
2004-07-02 07:20:00 CDT,+81279.8-155012j,+2401+0i
2004-07-02 07:25:00 CDT,+81257.6-155032j,+2401+0i
2004-07-02 07:30:00 CDT,+83795.3-154374j,+2401+0i
2004-07-02 07:35:00 CDT,+79688.9-155480j,+2401+0i
2004-07-02 07:40:00 CDT,+85511.5-155243j,+2401+0i
